Material Index,Materials Difficulty,Questions Numbers,Topics
384,0.04,1,1
385,0.05,1,3
386,0.06,1,0
387,1.5200000000000002,2,4
388,2.24,3,0
389,1.5300000000000002,2,4
390,0.07,1,2
391,0.08,1,1
392,5.22,3,0
393,0.09,1,4
394,0.0999999999999999,1,4
395,1.5400000000000005,2,4
396,1.5500000000000005,2,0
397,0.1099999999999999,1,4
398,3.33,3,4
399,0.1199999999999999,1,4
400,0.1299999999999999,1,0
401,0.1399999999999999,1,4
402,0.15,1,0
403,3.3400000000000003,4,4
404,0.16,1,4
405,0.17,1,4
406,0.18,1,3
407,0.19,1,1
408,5.23,4,0
409,0.2,1,3
410,0.21,1,0
411,1.5600000000000005,2,0
412,1.5700000000000005,2,4
413,0.22,1,4
414,0.23,1,0
415,5.24,4,2
416,3.35,3,0
417,3.3600000000000003,3,0
418,0.24,1,0
419,0.25,1,4
420,0.26,1,4
421,5.25,4,4
422,0.2700000000000001,1,3
423,0.2800000000000001,1,0
424,0.2900000000000001,1,0
425,0.3000000000000001,1,3
426,0.3100000000000001,1,0
427,0.3200000000000001,1,0
428,1.5800000000000003,2,4
429,0.3300000000000001,1,2
430,2.25,3,4
431,0.3400000000000001,1,4
432,5.26,4,4
433,0.3500000000000001,1,0
434,0.3600000000000001,1,4
435,0.3700000000000001,1,4
436,2.26,3,0
437,4.25,4,4
438,1.5900000000000003,2,4
439,3.37,3,4
440,0.3800000000000001,1,1
441,1.6000000000000003,2,4
442,0.3900000000000002,1,1
443,2.27,3,4
444,1.6100000000000003,2,4
445,5.2700000000000005,4,2
446,0.4000000000000002,1,0
447,0.4100000000000002,1,4
448,4.26,3,3
449,2.28,3,0
450,0.4200000000000002,1,4
451,0.4300000000000002,1,4
452,1.6200000000000003,3,4
453,2.29,3,1
454,1.6300000000000003,2,0
455,5.28,4,4
456,0.4400000000000002,1,1
457,0.4500000000000002,1,3
458,0.4600000000000002,1,3
459,0.4700000000000002,1,4
460,3.3800000000000003,4,4
461,3.39,4,4
462,1.6400000000000003,2,3
463,2.3000000000000003,2,0
464,3.4000000000000004,3,2
465,5.29,4,4
466,0.4800000000000002,1,4
467,0.4900000000000002,1,0
468,0.5000000000000002,1,0
469,0.5100000000000002,1,3
470,2.31,3,4
471,0.5200000000000002,1,1
472,0.5300000000000002,1,4
473,0.5400000000000003,1,0
474,1.6500000000000004,2,4
475,0.5500000000000003,1,3
476,0.5600000000000003,1,0
477,2.3200000000000003,3,4
478,0.5700000000000003,1,4
479,2.33,3,2
480,0.5800000000000003,1,0
481,0.5900000000000003,1,2
482,4.2700000000000005,4,2
483,2.3400000000000003,3,1
484,1.6600000000000004,2,0
485,0.6000000000000003,1,4
486,0.6100000000000003,1,0
487,2.35,3,4
488,1.6700000000000004,2,4
489,6.21,4,2
490,0.6200000000000003,1,1
491,0.6300000000000003,1,4
492,6.22,6,0
493,5.3,4,2
494,0.6400000000000003,1,0
495,1.6800000000000004,2,0
496,0.6500000000000004,1,0
497,0.6600000000000004,1,4
498,3.41,3,2
499,0.6700000000000004,1,4
500,0.6800000000000004,1,0
501,2.3600000000000003,3,3
502,0.6900000000000004,1,4
503,0.0,1,3
504,0.01,1,0
505,0.02,1,4
506,0.03,1,4
507,0.04,1,4
508,2.37,4,4
509,0.05,1,0
510,0.06,1,4
511,0.07,1,4
512,1.6900000000000004,2,3
513,0.08,1,3
514,3.4200000000000004,3,0
515,0.09,1,0
516,2.3800000000000003,3,4
517,0.0999999999999999,1,4
518,5.3100000000000005,4,4
519,3.43,4,0
520,3.4400000000000004,3,0
521,0.1099999999999999,1,0
522,5.32,4,3
523,6.23,4,4
524,0.1199999999999999,1,0
525,1.0,2,0
526,0.1299999999999999,1,0
527,0.1399999999999999,1,1
528,1.01,2,4
529,3.45,4,0
530,1.02,2,1
531,0.15,1,0
532,0.16,1,4
533,3.4600000000000004,3,0
534,0.17,1,2
535,0.18,1,0
536,3.47,4,4
537,0.19,1,2
538,0.2,1,0
539,0.21,1,4
540,0.22,1,4
541,1.03,3,2
542,0.23,1,4
543,5.33,4,4
544,1.04,2,4
545,0.24,1,1
546,1.05,2,0
547,0.25,1,4
548,0.26,1,2
549,1.06,2,0
550,5.34,4,4
551,0.2700000000000001,1,3
552,6.24,4,3
553,0.2800000000000001,1,4
554,0.2900000000000001,1,4
555,0.3000000000000001,1,3
556,1.07,2,1
557,0.3100000000000001,1,3
558,3.4800000000000004,3,1
559,0.3200000000000001,1,4
560,0.3300000000000001,1,3
561,0.3400000000000001,1,4
562,1.08,3,0
563,6.25,4,2
564,0.3500000000000001,1,0
565,0.3600000000000001,1,0
566,6.26,4,2
567,0.3700000000000001,1,1
568,1.09,2,0
569,0.3800000000000001,1,3
570,3.49,3,4
571,6.2700000000000005,4,3
572,1.1,2,4
573,0.3900000000000002,1,4
574,6.28,4,3
575,1.11,2,0
576,1.12,2,0
577,0.4000000000000002,1,1
578,0.4100000000000002,1,4
579,1.13,2,1
580,2.39,3,4
581,0.4200000000000002,1,4
582,0.4300000000000002,1,2
583,6.29,4,2
584,0.4400000000000002,1,1
585,3.5,3,4
586,1.14,2,4
587,0.4500000000000002,1,0
588,3.51,3,4
589,3.5200000000000005,3,4
590,0.4600000000000002,1,3
591,0.4700000000000002,1,1
592,3.53,3,4
593,0.4800000000000002,1,4
594,6.3,4,0
595,0.4900000000000002,1,0
596,0.5000000000000002,1,1
597,0.5100000000000002,1,4
598,0.5200000000000002,1,0
599,0.5300000000000002,1,4
600,0.5400000000000003,1,2
601,0.5500000000000003,1,4
602,0.5600000000000003,1,4
603,0.5700000000000003,1,0
604,0.5800000000000003,1,0
605,0.5900000000000003,1,0
606,6.3100000000000005,4,3
607,0.6000000000000003,1,0
608,0.6100000000000003,1,0
609,0.6200000000000003,1,4
610,0.6300000000000003,1,3
611,2.4000000000000004,3,4
612,0.6400000000000003,1,4
613,0.6500000000000004,1,4
614,0.6600000000000004,1,4
615,0.6700000000000004,1,4
616,0.6800000000000004,1,1
617,6.32,4,2
618,0.6900000000000004,1,4
619,0.0,1,4
620,0.01,1,2
621,2.41,3,0
622,1.15,3,0
623,5.3500000000000005,4,2
624,0.02,1,0
625,5.36,4,0
626,3.54,4,0
627,2.4200000000000004,3,2
628,0.03,1,0
629,0.04,1,4
630,0.05,1,4
631,4.28,3,4
632,0.06,1,4
633,0.07,1,2
634,0.08,1,4
635,0.09,1,4
636,0.0999999999999999,1,4
637,0.1099999999999999,1,0
638,1.16,2,2
639,4.29,3,2
640,4.3,4,4
641,1.17,3,1
642,0.1199999999999999,1,4
643,0.1299999999999999,1,4
644,3.5500000000000003,3,0
645,0.1399999999999999,1,0
646,1.18,2,0
647,1.19,2,0
648,0.15,1,0
649,0.16,1,4
650,6.33,4,4
651,0.17,1,3
652,0.18,1,0
653,5.37,4,0
654,0.19,1,4
655,6.34,4,4
656,0.2,1,4
657,5.38,4,4
658,1.2,1,0
659,0.21,1,0
660,0.22,1,0
661,0.23,1,4
662,0.24,1,0
663,1.21,2,4
664,6.3500000000000005,4,3
665,0.25,1,0
666,0.26,1,4
667,0.2700000000000001,1,2
668,0.2800000000000001,1,1
669,2.43,3,0
670,0.2900000000000001,1,4
671,1.22,2,1
672,0.3000000000000001,1,4
673,1.23,2,3
674,0.3100000000000001,1,0
675,0.3200000000000001,1,4
676,5.390000000000001,4,0
677,2.4400000000000004,4,0
678,3.5600000000000005,3,4
679,1.24,2,4
680,3.5700000000000003,3,4
681,1.25,2,4
682,1.26,2,0
683,4.3100000000000005,4,1
684,0.3300000000000001,1,1
685,1.27,2,0
686,6.36,5,2
687,5.4,4,4
688,1.28,2,4
689,0.3400000000000001,1,3
690,1.29,2,4
691,0.3500000000000001,1,0
692,0.3600000000000001,1,4
693,5.41,4,2
694,4.32,3,1
695,0.3700000000000001,1,0
696,0.3800000000000001,1,0
697,4.33,4,3
698,0.3900000000000002,1,4
699,0.4000000000000002,1,4
700,0.4100000000000002,1,4
701,0.4200000000000002,1,4
702,1.3,2,0
703,1.31,2,4
704,0.4300000000000002,1,0
705,1.32,2,0
706,0.4400000000000002,1,4
707,5.42,4,4
708,0.4500000000000002,1,0
709,0.4600000000000002,1,4
710,0.4700000000000002,1,0
711,0.4800000000000002,1,4
712,0.4900000000000002,1,2
713,0.5000000000000002,1,4
714,0.5100000000000002,1,4
715,0.5200000000000002,1,4
716,1.33,2,4
717,0.5300000000000002,2,0
718,1.34,2,1
719,4.34,3,4
720,2.45,3,1
721,0.5400000000000003,1,4
722,0.5500000000000003,1,0
723,0.5600000000000003,1,2
724,0.5700000000000003,1,2
725,0.5800000000000003,1,4
726,0.5900000000000003,1,4
727,0.6000000000000003,1,0
728,1.35,2,1
729,0.6100000000000003,1,2
730,3.58,3,2
731,0.6200000000000003,1,4
732,0.6300000000000003,1,4
733,0.6400000000000003,1,3
734,3.5900000000000003,3,4
735,0.6500000000000004,1,3
736,0.6600000000000004,1,4
737,0.6700000000000004,1,0
738,4.3500000000000005,4,2
739,0.6800000000000004,1,0
740,0.6900000000000004,1,3
741,0.0,1,4
742,0.01,1,0
743,3.6000000000000005,3,3
744,0.02,1,2
745,0.03,1,4
746,5.430000000000001,4,4
747,1.36,3,4
748,0.04,1,3
749,0.05,1,4
750,2.4600000000000004,3,0
751,0.06,1,3
752,0.07,1,0
753,0.08,1,1
754,5.44,3,0
755,3.61,3,0
756,0.09,1,4
757,0.0999999999999999,1,4
758,0.1099999999999999,1,0
759,0.1199999999999999,1,2
760,2.47,3,1
761,2.4800000000000004,3,4
762,1.37,2,0
763,4.36,3,0
764,0.1299999999999999,1,4
765,4.37,3,2
766,0.1399999999999999,1,4
767,0.15,1,4
768,5.45,4,3
769,0.16,1,3
770,0.17,1,1
771,1.38,2,3
772,3.62,3,3
773,0.18,1,3
774,0.19,1,0
775,0.2,1,2
776,0.21,1,1
777,0.22,1,4
778,0.23,1,0
779,0.24,1,4
780,0.25,1,1
781,0.26,1,4
782,1.39,2,0
783,0.2700000000000001,1,0
784,0.2800000000000001,1,3
785,3.63,3,3
786,0.2900000000000001,1,4
787,1.4,3,4
788,0.3000000000000001,1,4
789,3.640000000000001,3,4
790,1.41,2,0
791,0.3100000000000001,1,0
792,0.3200000000000001,1,4
793,3.65,3,0
794,4.38,3,2
795,0.3300000000000001,1,0
796,5.46,4,0
797,1.4200000000000002,2,0
798,0.3400000000000001,1,4
799,3.66,3,4
800,0.3500000000000001,1,0
801,0.3600000000000001,1,4
802,0.3700000000000001,1,0
803,0.3800000000000001,1,2
804,0.3900000000000002,1,4
805,1.4300000000000002,2,4
806,1.4400000000000002,2,4
807,1.4500000000000002,2,4
808,0.4000000000000002,1,4
809,1.4600000000000002,2,3
810,4.390000000000001,3,2
811,0.4100000000000002,1,4
812,2.49,3,0
813,3.67,3,3
814,2.5,3,4
815,1.4700000000000002,2,0
816,0.4200000000000002,1,4
817,4.4,3,3
818,4.41,4,3
819,0.4300000000000002,1,4
820,0.4400000000000002,1,0
821,4.42,4,4
822,5.470000000000001,4,2
823,0.4500000000000002,1,4
824,1.4800000000000002,2,0
825,1.4900000000000002,2,0
826,2.51,3,0
827,1.5000000000000002,2,0
828,0.4600000000000002,1,4
829,1.5100000000000002,2,2
830,0.4700000000000002,1,4
831,0.4800000000000002,1,3
832,4.430000000000001,4,0
833,0.4900000000000002,1,1
834,0.5000000000000002,1,0
835,0.5100000000000002,1,4
836,2.5200000000000005,3,3
837,0.5200000000000002,1,4
838,0.5300000000000002,1,4
839,0.5400000000000003,1,0
840,0.5500000000000003,1,0
841,0.5600000000000003,1,2
842,0.5700000000000003,1,4
843,3.6800000000000006,3,3
844,1.5200000000000002,2,0
845,0.5800000000000003,1,2
846,0.5900000000000003,1,0
847,0.6000000000000003,1,3
848,0.6100000000000003,1,0
849,1.5300000000000002,2,1
850,1.5400000000000005,2,4
851,0.6200000000000003,1,0
852,0.6300000000000003,1,0
853,0.6400000000000003,1,2
854,0.6500000000000004,1,3
855,5.48,3,2
856,0.6600000000000004,1,4
857,0.6700000000000004,1,0
858,0.6800000000000004,1,4
859,0.6900000000000004,1,4
860,3.69,3,0
861,5.49,4,4
862,0.0,1,0
863,0.01,1,2
864,2.53,3,4
865,0.02,1,0
866,0.03,1,0
867,0.04,1,4
868,6.37,4,3
869,0.05,1,4
870,0.06,1,3
871,1.5500000000000005,2,2
872,0.07,1,4
873,3.0,3,0
874,0.08,1,4
875,0.09,1,4
876,0.0999999999999999,1,4
877,0.1099999999999999,1,0
878,3.01,3,0
879,0.1199999999999999,1,4
880,0.1299999999999999,1,4
881,0.1399999999999999,1,0
882,3.02,3,4
883,5.5,4,2
884,0.15,1,1
885,0.16,1,4
886,0.17,1,0
887,0.18,1,4
888,0.19,1,1
889,0.2,1,3
890,1.5600000000000005,2,4
891,0.21,1,2
892,0.22,1,4
893,6.38,4,2
894,1.5700000000000005,2,0
895,4.44,4,2
896,3.03,3,0
897,0.23,1,0
898,1.5800000000000003,2,4
899,2.54,3,4
900,4.45,4,4
901,0.24,1,0
902,0.25,1,4
903,0.26,1,4
904,1.5900000000000003,2,4
905,3.04,3,4
906,1.6000000000000003,2,0
907,6.390000000000001,3,2
908,0.2700000000000001,1,1
909,1.6100000000000003,2,0
910,0.2800000000000001,1,0
911,3.05,3,4
912,0.2900000000000001,1,0
913,1.6200000000000003,2,0
914,0.3000000000000001,1,4
915,6.4,4,2
916,0.3100000000000001,1,4
917,1.6300000000000003,2,4
918,0.3200000000000001,1,0
919,4.46,3,3
920,1.6400000000000003,2,4
921,0.3300000000000001,1,4
922,0.3400000000000001,1,3
923,3.06,3,2
924,4.470000000000001,4,1
925,1.6500000000000004,2,4
926,3.07,3,1
927,0.3500000000000001,1,4
928,1.6600000000000004,2,4
929,1.6700000000000004,3,4
930,0.3600000000000001,1,0
931,4.48,4,4
932,1.6800000000000004,2,2
933,5.51,4,4
934,3.08,3,4
935,0.3700000000000001,1,1
936,5.5200000000000005,4,0
937,0.3800000000000001,1,4
938,3.09,3,4
939,0.3900000000000002,1,4
940,0.4000000000000002,1,2
941,4.49,3,0
942,1.6900000000000004,2,4
943,0.4100000000000002,1,2
944,0.4200000000000002,1,4
945,1.0,2,3
946,0.4300000000000002,1,4
947,3.1,3,0
948,6.41,4,3
949,1.01,2,4
950,4.5,3,2
951,0.4400000000000002,1,3
952,3.11,4,1
953,0.4500000000000002,1,2
954,3.12,3,3
955,0.4600000000000002,1,0
956,0.4700000000000002,1,1
957,0.4800000000000002,1,1
958,5.53,4,1
959,0.4900000000000002,1,0
960,0.5000000000000002,1,1
961,1.02,2,0
962,0.5100000000000002,1,3
963,2.5500000000000003,3,0
964,0.5200000000000002,1,0
965,0.5300000000000002,1,4
966,0.5400000000000003,1,3
967,6.42,4,3
968,0.5500000000000003,1,0
969,0.5600000000000003,1,4
970,0.5700000000000003,1,4
971,0.5800000000000003,1,0
972,0.5900000000000003,1,4
973,0.6000000000000003,1,0
974,0.6100000000000003,1,1
975,0.6200000000000003,1,3
976,1.03,3,0
977,1.04,2,4
978,1.05,2,3
979,0.6300000000000003,1,4
980,2.5600000000000005,3,0
981,0.6400000000000003,1,4
982,0.6500000000000004,1,4
983,0.6600000000000004,1,4
984,1.06,2,4
985,0.6700000000000004,1,4
986,1.07,2,0
987,3.13,3,4
988,0.6800000000000004,1,0
989,0.6900000000000004,1,1
990,1.08,2,4
991,3.14,4,0
992,2.5700000000000003,3,4
993,0.0,1,4
994,0.01,1,0
995,5.54,4,0
996,6.430000000000001,4,4
997,0.02,1,0
998,3.15,3,4
999,0.03,1,3
1000,0.04,1,0
1001,1.09,2,0
1002,0.05,1,4
1003,0.06,1,1
1004,0.07,1,2
1005,0.08,1,0
1006,0.09,1,2
1007,0.0999999999999999,1,4
1008,0.1099999999999999,1,0
1009,1.1,3,2
1010,6.44,4,3
1011,0.1199999999999999,1,3
1012,0.1299999999999999,1,0
1013,0.1399999999999999,1,0
1014,0.15,1,2
1015,3.16,4,4
1016,0.16,1,2
1017,1.11,1,0
1018,0.17,1,2
1019,0.18,1,0
1020,1.12,2,0
1021,1.13,2,0
1022,0.19,1,3
1023,0.2,1,3
1024,5.550000000000001,4,4
1025,4.51,4,4
1026,1.14,2,0
1027,0.21,1,0
1028,1.15,2,4
1029,0.22,1,1
1030,4.5200000000000005,4,0
1031,5.5600000000000005,4,4
1032,1.16,2,4
1033,0.23,1,0
1034,4.53,4,2
1035,0.24,1,4
1036,1.17,2,4
1037,0.25,1,4
1038,1.18,2,4
1039,3.17,4,2
1040,0.26,1,3
1041,3.18,3,3
1042,0.2700000000000001,1,4
1043,5.57,4,0
1044,6.45,4,0
1045,0.2800000000000001,1,0
1046,0.2900000000000001,1,4
1047,0.3000000000000001,1,4
1048,2.58,3,4
1049,4.54,4,2
1050,0.3100000000000001,1,4
1051,5.58,4,2
1052,1.19,2,3
1053,1.2,3,0
1054,0.3200000000000001,1,4
1055,1.21,3,4
1056,4.550000000000001,4,2
1057,0.3300000000000001,1,4
1058,2.5900000000000003,3,0
1059,4.5600000000000005,3,0
1060,0.3400000000000001,1,4
1061,0.3500000000000001,1,4
1062,4.57,3,1
1063,1.22,2,3
1064,4.58,4,2
1065,4.59,3,3
1066,0.3600000000000001,1,3
1067,6.46,4,3
1068,0.3700000000000001,1,4
1069,0.3800000000000001,1,1
1070,3.19,3,4
1071,0.3900000000000002,1,4
1072,1.23,3,0
1073,1.24,2,4
1074,0.4000000000000002,1,0
1075,1.25,2,3
1076,0.4100000000000002,1,4
1077,0.4200000000000002,1,0
1078,0.4300000000000002,1,0
1079,1.26,3,1
1080,1.27,2,4
1081,4.6000000000000005,3,4
1082,0.4400000000000002,1,0
1083,0.4500000000000002,1,0
1084,3.2,3,2
1085,0.4600000000000002,1,4
1086,1.28,2,4
1087,0.4700000000000002,1,0
1088,0.4800000000000002,1,4
1089,0.4900000000000002,1,2
1090,0.5000000000000002,1,4
1091,1.29,2,0
1092,1.3,2,4
1093,0.5100000000000002,1,1
1094,2.6000000000000005,3,4
1095,3.21,3,4
1096,0.5200000000000002,1,1
1097,2.6100000000000003,3,0
1098,6.470000000000001,4,2
1099,0.5300000000000002,1,4
1100,2.62,3,4
1101,4.61,3,4
1102,0.5400000000000003,1,2
1103,6.48,6,4
1104,0.5500000000000003,1,4
1105,3.22,3,4
1106,0.5600000000000003,1,1
1107,3.23,4,3
1108,2.6300000000000003,3,4
1109,2.640000000000001,3,1
1110,0.5700000000000003,1,1
1111,0.5800000000000003,1,2
1112,0.5900000000000003,1,2
1113,0.6000000000000003,1,2
